device_age_years,battery_health,screen_damage,body_condition,repair_cost,device_value,previous_repairs,warranty_remaining,repair_or_replace
1.7,93,1,0,6856,32081,4,1,0
2.2,85,1,1,24117,25096,4,1,0
2.3,58,0,2,4285,20058,3,0,1
1.5,75,1,2,13750,45240,0,0,0
4.8,50,0,0,3888,35911,4,1,0
0.8,64,1,0,14128,44913,0,1,0
3.3,83,1,2,21981,44155,0,0,0
2.7,50,0,2,7381,57685,4,1,0
0.7,88,0,2,8839,16107,0,1,0
3.4,60,0,1,22943,56096,3,1,0
2.3,87,0,2,19009,6007,0,0,1
1.8,85,1,1,20869,58445,2,0,0
4.8,79,1,2,14340,5304,2,0,1
2.8,85,0,2,17819,24284,2,0,0
4.8,84,1,2,8971,34017,3,1,0
3.9,99,1,2,16793,35193,4,0,1
1.0,54,1,2,11345,56685,1,0,0
2.4,72,0,2,10413,59537,2,0,0
0.9,93,1,0,11284,41343,1,1,0
2.1,86,1,0,7542,53900,1,1,0
1.6,65,1,0,21270,20021,1,0,0
2.1,99,0,0,18743,10143,3,0,1
4.8,80,1,2,17082,25671,3,1,1
1.3,98,1,1,2774,19555,4,0,0
2.9,77,1,2,13901,7134,4,1,1
4.4,99,0,1,11343,12888,4,1,1
3.6,50,0,1,12848,43076,0,1,0
3.3,66,0,2,16445,22226,1,1,0
4.8,71,1,0,14732,37687,3,0,1
3.7,73,1,1,19723,23325,3,0,1
1.1,86,0,0,19197,52239,2,0,0
2.4,74,0,0,1319,57431,1,1,0
1.3,81,0,2,16945,38882,4,1,0
1.9,85,0,1,8060,11486,1,0,0
4.2,80,0,1,12828,53797,2,1,0
2.1,85,1,1,12504,6299,3,0,1
4.4,88,0,2,10326,42741,4,0,1
2.1,93,1,2,21108,34290,0,1,0
1.8,90,0,0,21685,46981,2,1,0
3.3,75,0,0,11272,15616,2,0,1
1.9,68,1,2,15578,47247,3,1,0
4.0,73,1,1,5097,15965,1,0,0
3.8,92,1,2,6469,50920,0,0,0
2.3,56,0,1,14009,40942,0,0,0
2.9,55,0,1,22457,45507,1,0,0
4.7,74,1,0,21528,21213,2,1,0
1.1,83,0,0,16602,7303,2,1,0
2.6,84,1,2,20360,34153,1,0,1
3.2,90,1,2,12376,46929,4,1,0
2.7,64,0,1,9513,25176,2,1,0
1.2,50,0,2,10396,58436,1,1,0
2.6,50,1,1,10598,24635,0,1,0
3.2,100,0,2,19368,29487,1,1,0
2.5,65,0,2,8228,53307,3,1,0
1.7,77,0,2,10328,55104,4,1,0
3.4,84,1,1,5476,17320,0,0,0
1.8,90,1,2,7153,34672,2,1,0
1.9,59,0,2,10244,6450,1,0,1
1.7,95,1,2,5937,5537,1,0,1
0.6,63,1,1,16194,25419,3,1,0
3.6,52,1,0,9732,54189,1,0,1
4.0,54,1,0,1413,17595,2,1,0
1.0,99,0,1,2098,55543,3,0,0
1.4,97,0,2,13750,48647,1,1,0
3.6,69,1,0,9300,46232,0,0,0
2.7,69,0,1,8732,8413,1,0,1
3.3,70,0,0,13969,57061,2,0,0
4.1,50,0,2,13169,56345,3,0,1
4.0,65,0,1,21484,10990,4,1,1
0.8,72,0,2,16985,40150,0,0,0
1.5,85,1,1,23585,53050,1,0,0
2.2,96,0,1,19318,7587,3,1,1
1.8,94,1,0,11606,42139,1,1,0
3.8,67,0,0,10688,39808,1,1,0
4.2,84,1,1,7079,5047,4,1,1
4.5,89,1,2,22570,20649,2,0,1
4.9,74,0,2,21088,49775,3,0,1
1.8,76,1,0,2434,11308,4,0,0
4.3,58,0,0,7278,18243,0,1,0
0.9,86,1,2,2608,37106,4,1,0
2.1,88,0,0,16337,18679,3,0,1
4.1,53,1,2,24213,53724,3,1,1
0.8,89,1,2,3553,7664,0,1,0
4.8,83,0,0,7208,52524,1,1,0
1.4,92,0,2,4457,45981,1,1,0
3.9,86,1,2,6466,35062,3,0,1
4.1,85,1,2,12544,27119,1,1,0
4.6,85,1,1,20936,32023,3,1,1
1.6,84,0,1,12796,55181,4,1,0
4.8,78,1,0,20521,52599,0,1,0
0.6,58,1,0,11318,24682,1,0,0
0.6,94,1,2,4089,38506,4,0,0
0.7,72,0,0,8634,22366,2,0,0
1.7,69,0,2,3529,31201,4,0,0
3.8,100,1,0,20504,36999,4,0,1
3.4,52,1,0,12400,56126,0,1,0
4.5,77,1,0,21771,55488,1,0,0
4.0,74,0,1,18692,39365,0,1,0
3.0,70,0,0,20501,8310,3,1,1
3.1,55,0,1,5331,23991,3,0,1
2.0,80,0,2,14058,31161,2,0,0
2.8,99,0,0,16986,36517,4,0,0
2.3,86,0,2,8940,45369,4,0,0
0.8,99,1,1,4687,49874,4,0,0
3.5,77,1,1,20460,17483,2,1,0
3.4,99,1,0,21420,27919,4,1,1
1.2,52,0,0,24871,49915,2,0,0
4.3,57,0,0,1450,45698,1,1,0
2.0,57,1,1,7848,35879,0,1,0
3.8,63,0,2,21415,39292,2,1,0
3.8,59,0,1,9370,43207,4,0,1
1.3,68,0,2,16235,45498,2,0,0
3.4,50,0,1,4535,48278,2,1,0
0.6,91,1,0,11336,29949,4,0,0
2.7,88,0,0,19372,18033,4,1,0
4.7,51,0,0,17054,39695,2,1,0
2.3,60,0,1,21487,49847,2,1,0
1.9,82,1,0,1965,46011,2,1,0
4.7,67,0,0,3876,27399,3,0,0
3.8,83,0,1,14974,20752,4,0,1
4.9,88,1,1,22380,40535,1,0,1
1.1,84,0,0,15092,25250,4,0,1
5.0,99,0,2,3222,42017,1,1,0
3.0,96,0,0,11442,25814,1,0,0
4.5,76,1,1,7158,34032,2,0,0
1.0,61,0,2,20541,45432,2,0,0
1.5,93,0,1,17460,10208,3,0,1
4.3,80,1,0,5506,30392,3,1,0
1.2,64,0,1,14534,55104,0,1,0
1.5,92,0,0,21219,9334,1,1,0
2.7,70,1,0,20920,33020,3,0,1
3.8,74,1,1,18060,45075,4,0,1
1.0,79,0,0,2286,38993,4,1,0
3.0,83,0,0,10979,24082,3,1,0
4.0,68,1,0,23608,32686,2,0,1
2.8,59,1,2,6890,34602,0,0,0
4.0,94,0,1,1816,32103,2,1,0
1.3,87,0,1,23666,10910,2,1,0
3.4,95,0,2,4740,53055,0,0,0
3.7,90,1,0,13408,39328,3,0,1
3.0,52,0,1,5738,42060,1,0,0
1.3,95,0,1,10462,25189,2,1,0
3.3,57,0,0,1400,5231,4,1,1
2.6,81,0,2,20295,37339,1,0,0
3.5,79,1,1,9018,10203,4,0,1
4.5,67,0,0,22406,17113,1,0,1
2.1,59,0,2,11849,42885,4,1,0
4.6,53,0,1,21024,16681,1,1,1
3.5,94,0,1,2174,54108,4,1,0
0.9,69,1,1,19037,29834,0,1,0
0.8,80,0,0,18270,50522,2,1,0
2.4,63,0,2,16848,8813,0,0,1
3.8,88,1,1,18216,44901,2,1,0
3.1,89,1,0,18029,45258,4,1,0
3.8,81,1,0,7342,44938,1,1,0
0.5,51,1,2,21162,57214,0,0,0
5.0,76,0,1,1370,27914,4,0,0
3.4,94,1,1,10839,56786,0,1,0
2.8,70,0,0,13977,49946,2,1,0
3.8,89,0,0,23035,17715,2,1,0
2.7,80,0,2,21552,13896,3,0,1
2.6,84,1,1,18074,56379,3,0,0
1.8,96,1,2,19920,40119,0,0,0
3.6,100,1,0,12113,14784,2,0,1
4.9,90,0,2,20503,44694,3,0,1
1.0,100,1,2,14561,25611,0,1,0
0.9,65,1,1,18206,59359,2,0,0
1.9,57,1,0,15541,55973,1,0,0
2.8,80,0,0,11726,27289,3,1,0
1.1,56,0,0,13700,52485,0,1,0
3.7,83,0,0,11921,25380,0,0,0
2.6,52,0,2,19925,55212,2,0,0
3.9,90,0,1,10065,18143,1,1,0
2.9,99,1,2,6160,12710,2,0,0
1.7,50,0,0,9881,40555,2,1,0
1.1,95,1,2,11203,21044,1,0,1
3.3,71,1,0,23134,13524,0,1,0
0.7,74,0,0,24090,32948,3,0,1
3.2,87,1,2,7492,28306,2,1,0
3.7,92,0,1,23891,42210,1,0,1
2.6,79,1,2,8592,47232,3,1,0
4.8,59,1,1,11641,30695,1,1,0
2.5,51,0,1,16113,12398,2,1,0
4.3,68,1,2,14293,42662,1,0,0
4.2,100,0,1,18457,41447,0,1,0
2.6,87,1,0,16806,45689,1,0,0
2.2,71,0,2,19586,43729,3,1,0
4.0,84,0,0,4746,48424,0,1,0
3.2,79,1,2,11093,11399,3,0,1
4.8,54,0,2,11728,58350,4,1,1
2.7,92,0,0,5807,19261,1,0,0
3.5,78,1,1,7411,45342,4,1,0
1.4,70,1,2,24520,57058,2,1,0
4.9,72,0,2,5179,5532,4,1,1
4.3,53,1,2,4594,8481,0,1,1
4.4,51,0,1,21487,51020,4,1,0
1.9,74,1,1,22708,33520,4,0,1
1.3,58,0,2,6055,30204,2,1,0
1.8,92,0,0,5718,5760,0,0,1
3.7,81,1,0,15943,10548,1,1,0
4.5,94,1,2,19089,16783,3,1,1
4.2,74,1,0,19937,17176,3,0,1
2.7,96,0,2,18896,37881,2,1,0
3.1,52,0,2,20014,36671,2,0,1
2.7,94,0,0,16235,52853,4,1,0
2.8,83,0,0,21088,35962,0,1,0
0.7,71,0,1,19807,34755,4,1,0
3.8,76,1,1,23775,23953,1,0,1
4.7,97,1,2,3012,56447,4,1,0
3.3,87,0,2,10398,8382,2,0,1
2.7,58,0,1,10018,21518,1,1,0
4.4,50,0,2,22599,16443,4,0,1
2.5,61,1,2,18281,20479,3,0,1
4.4,71,0,0,14531,44029,1,1,0
4.0,65,1,2,19931,46784,1,0,0
3.8,72,0,2,6491,22327,0,0,0
2.6,80,1,1,13445,53899,4,0,0
3.6,74,1,1,1388,14512,4,1,0
1.8,78,1,2,4190,25688,4,0,0
4.6,90,1,1,9858,45008,2,1,0
1.7,56,1,2,23127,43284,3,1,1
3.9,96,0,2,18944,27112,1,1,0
0.5,50,0,0,23462,31951,0,0,1
2.5,64,1,1,21296,17653,0,0,0
0.9,88,0,2,3830,46817,0,0,0
4.4,58,1,2,4632,55060,4,0,1
3.6,66,1,1,10056,48285,0,1,0
4.0,94,1,1,3044,15614,0,1,0
2.2,71,0,1,15436,58267,2,0,0
0.8,62,1,0,5714,47302,3,0,0
2.9,77,0,2,24442,47161,0,1,0
1.7,52,0,0,1614,42443,2,1,0
4.5,59,0,0,5967,48555,3,1,0
3.7,75,0,2,15288,51373,3,1,0
2.3,96,0,2,23585,19801,0,1,0
4.2,80,0,2,23342,40081,2,1,0
1.9,53,0,1,16061,40037,2,0,0
3.9,68,0,0,22650,41338,0,1,0
1.4,94,1,0,3780,46328,2,1,0
4.5,78,0,0,24584,7339,1,0,1
5.0,65,1,1,17373,9128,4,1,1
2.9,78,0,0,24626,27235,0,1,0
0.7,57,0,2,23219,48733,4,1,0
4.4,84,0,2,2208,42968,1,0,0
3.8,81,0,1,23980,45525,0,0,1
3.4,50,0,2,15948,8274,2,0,1
3.3,87,0,0,3067,12482,3,0,0
4.1,77,1,2,4958,49459,3,1,0
4.9,86,0,1,20434,59816,1,0,0
1.3,54,0,1,23816,14256,3,0,1
2.2,60,1,0,4275,43141,0,0,0
4.1,90,1,0,1208,6024,3,0,1
0.5,55,1,1,7755,50449,3,0,1
1.1,67,1,1,20538,20679,1,0,0
1.3,81,0,2,14722,59164,2,1,0
0.5,65,0,0,18685,39747,0,1,0
2.8,79,0,1,5889,8477,1,0,1
3.6,80,1,0,22130,15470,0,0,1
2.1,63,1,1,2419,26908,4,1,0
1.0,53,0,0,17872,56478,0,1,0
1.0,65,1,2,7512,42995,2,1,0
3.9,70,0,0,8769,26373,1,0,0
3.8,62,1,0,2780,9818,3,1,1
4.5,59,0,2,13238,34818,1,1,0
1.1,96,0,2,12006,28500,2,0,0
1.1,94,0,1,16026,13945,0,1,0
2.4,98,1,0,21905,24343,4,0,1
4.8,60,0,0,8092,31980,4,1,0
3.2,79,1,0,9120,52842,3,0,1
2.0,87,0,2,14689,14762,4,0,1
4.9,52,1,2,14949,55371,4,0,1
2.9,80,0,1,19300,37459,1,0,0
3.9,94,1,0,8833,13697,2,1,0
3.4,55,0,1,24045,48845,2,0,0
2.6,86,0,1,7060,35393,1,1,0
4.1,73,1,2,13611,46510,0,0,0
4.5,71,0,1,23435,32911,2,0,1
0.9,71,0,2,4636,49214,2,0,0
2.2,79,0,1,19374,29014,1,0,0
3.7,63,0,1,22267,20639,4,0,1
2.7,98,0,2,12557,54865,1,1,0
4.5,82,1,1,12312,8569,0,1,1
2.5,82,0,1,15810,51519,4,1,0
3.3,93,0,0,13801,35007,0,0,0
4.5,68,0,0,23841,15798,2,0,1
1.2,59,0,2,14649,46109,0,1,0
4.9,84,0,1,22125,27721,3,1,1
0.6,62,0,0,14490,57559,1,1,0
3.1,91,1,1,16007,43886,4,1,0
1.9,58,1,0,16867,56725,2,0,0
2.2,68,0,0,6451,28142,2,1,0
3.3,60,1,0,8795,16492,1,0,1
1.0,70,0,1,7722,22066,2,0,0
3.0,52,1,1,18690,14695,2,1,0
4.9,84,1,0,5763,6633,3,1,1
4.8,70,0,0,22208,53398,4,1,0
3.7,80,1,2,12098,48705,1,1,0
3.6,96,1,0,11095,14137,4,0,1
0.6,89,0,1,2803,28422,0,1,0
3.2,62,0,1,18642,17826,0,0,1
4.3,93,0,2,11412,30848,1,1,0
3.2,82,0,2,24460,28662,3,0,1
4.3,73,1,1,12513,5798,2,1,1
1.9,78,0,0,15499,52700,3,1,0
1.8,96,1,2,5706,32144,1,0,0
1.4,80,1,0,1216,43710,3,0,0
2.3,67,1,0,7529,41425,3,0,0
1.3,74,1,2,20176,37151,0,1,0
1.9,85,1,0,9607,6758,0,0,1
1.9,90,1,0,6877,47848,2,1,0
2.7,94,0,0,3186,12822,2,1,0
3.2,73,1,2,23749,33578,2,1,1
4.2,73,0,1,5788,15672,4,0,0
1.9,94,0,1,12834,15702,0,1,0
2.4,72,0,1,17838,24114,4,0,1
1.4,90,0,0,11361,44240,1,1,0
4.2,93,1,1,18511,49921,2,0,0
3.1,59,0,0,16889,38958,2,1,0
2.4,60,0,0,7174,15128,4,0,0
4.1,85,0,1,5300,35178,0,0,0
4.7,80,1,1,15481,50288,2,0,0
4.5,88,1,0,4886,51523,2,0,0
1.5,94,0,2,7876,19848,2,0,0
1.1,55,1,2,1616,55005,0,0,0
4.0,98,1,0,22619,17868,0,0,1
2.8,53,1,0,10884,21581,0,0,1
3.5,98,0,0,7054,44439,1,0,0
3.5,51,0,0,12540,53902,2,1,0
1.2,82,0,2,19944,42370,0,0,0
3.9,83,0,2,18600,17553,2,0,1
0.5,96,0,0,23876,38042,3,1,0
3.2,78,0,0,14896,59705,2,1,0
1.5,64,1,0,16266,54899,2,0,0
1.0,58,1,1,3695,51185,2,0,0
2.0,57,1,1,23513,34946,4,1,1
4.9,78,0,2,7186,31691,2,1,0
4.4,80,1,0,13988,5837,3,0,1
2.5,92,0,0,23774,14395,3,1,0
3.2,56,0,0,7562,28836,1,1,0
3.2,75,0,0,10126,59926,3,1,0
3.9,99,1,2,22845,31229,2,1,1
3.2,75,1,2,4540,23277,1,1,0
1.0,81,1,0,4263,46180,1,0,0
3.8,54,1,2,20811,6753,1,1,1
3.6,59,1,2,22662,45844,0,0,1
3.9,99,1,1,17064,18233,2,1,0
2.8,84,1,2,15103,40823,0,0,0
4.5,57,1,1,16062,25614,3,1,1
0.7,61,1,2,5406,15757,3,1,0
1.9,74,1,0,16594,42280,3,1,0
3.0,60,0,1,21215,22261,3,1,0
3.5,99,1,1,5200,9025,0,0,1
4.3,72,0,2,15029,27364,3,0,1
2.1,72,1,1,8688,8699,1,0,1
3.4,87,0,2,12062,9292,2,0,1
1.3,84,1,0,9736,35206,3,1,0
0.6,80,0,1,11565,29755,4,1,0
3.1,81,0,2,17276,49244,1,1,0
2.8,98,1,0,15286,45293,2,1,0
1.4,90,0,2,2557,19029,2,1,0
1.8,86,1,0,20394,45931,0,0,0
2.0,54,1,1,22349,18745,2,0,1
4.2,82,1,1,7556,48480,4,1,0
2.4,66,1,2,1609,55032,4,0,0
3.3,83,0,2,9779,37715,1,1,0
4.7,84,1,2,12936,52619,0,0,0
2.6,65,0,2,14443,49912,2,1,0
1.9,54,0,1,9403,22493,2,0,0
3.6,65,1,0,1907,12442,1,0,0
